yr,brand,brandNm,corpNm,frcsCnt,newFrcsRgsCnt,ctrtEndCnt,ctrtCncltnCnt,nmChgCnt,open_rate,close_rate,avrgSlsAmt,avg_sales_eok,ar_unit_sales_manwon
2022,3X-LARGE COFFEE,3X-LARGE COFFEE,(주)정명에프앤비,6,6,0,0,0,1.0,0.0,86090,0.8609,287.0
2023,3X-LARGE COFFEE,3X-LARGE COFFEE,(주)정명에프앤비,13,9,2,0,1,0.6923076923076923,0.15384615384615385,98060,0.9806,326.9
2023,707COFFEE,707COFFEE,칠공칠(707),2,2,0,0,0,1.0,0.0,0,0.0,0.0
2024,707COFFEE,707COFFEE,707커피컴퍼니(주),6,4,0,0,0,0.6666666666666666,0.0,217238,2.17238,1448.3
2022,9 BLOCK,9 BLOCK (나인블럭),(주)에스디인터내셔날,1,1,0,0,0,1.0,0.0,0,0.0,0.0
2023,9 BLOCK,9 BLOCK (나인블럭),(주)에스디인터내셔날,1,1,1,0,0,1.0,1.0,0,0.0,0.0
2017,9cafe,9cafe,(주)비비인터내셔널,14,14,0,0,0,1.0,0.0,186746,1.86746,2189.7
2018,9cafe,9cafe,(주)비비인터내셔널,10,0,4,0,5,0.0,0.4,184640,1.8464,2101.0
2019,9cafe,9cafe,(주)비비인터내셔널,10,1,1,0,2,0.1,0.1,162636,1.62636,1794.9
2023,A LOT TO GO,A LOT TO GO(어랏투고),제로3커피로스터스,6,6,0,0,0,1.0,0.0,23400,0.234,257.8
2024,A LOT TO GO,A LOT TO GO(어랏투고),제로3커피로스터스,12,6,0,0,1,0.5,0.0,211631,2.11631,1876.2
2017,ABC커피,ABC커피,에이비씨커피,8,6,0,0,3,0.75,0.0,0,0.0,0.0
2022,ALI⋆KENYA⋆STAR,ALI⋆KENYA⋆STAR(알리케냐스타)커피,(주)알리스타커피,4,5,1,0,0,1.25,0.25,0,0.0,0.0
2023,ALI⋆KENYA⋆STAR,ALI⋆KENYA⋆STAR(알리케냐스타)커피,(주)알리스타커피,7,3,0,0,0,0.42857142857142855,0.0,157359,1.57359,175.6
2024,ALI★KENYA★STAR,ALI★KENYA★STAR(알리케냐스타)커피,(주)알리스타커피,6,0,1,0,0,0.0,0.16666666666666666,179428,1.79428,200.2
